X|Y|id
27.5697983553572|31.030258757655|36
27.6621127851723|31.0036138593905|37
27.7859958801054|30.9814724332916|17
27.7694940778846|31.0484959678623|55
27.6350880945788|31.06939274341|63
27.9138250581783|31.031283412637|19
27.9099985533155|31.0234957583077|40
27.927696138306|31.0755379802295|41
27.9415672184336|31.07635731513|58
27.9224346941196|30.9923387753726|20
27.9066503615606|30.9611716118644|18
27.9893985292186|31.0476763929435|42
27.9793539539538|30.9956189373066|39
27.5861805793011|31.1793323697673|72
27.5283046932513|31.1695105494806|71
27.5412191471632|31.1351261585314|64
27.5311745718984|31.1085106311901|52
27.577092630252|31.0794297581168|53
27.6263588803605|31.1703290734103|73
27.656492606155|31.1560038835089|74
27.6430998391352|31.1416765279379|66
27.6177492444192|31.1085106311901|9
27.7177166839598|31.1645992573665|75
27.7296745116561|31.1277564521835|67
27.7837238928431|31.1224335304372|68
27.7440239048916|31.0941761020404|54
27.8014214778336|31.151705904207|76
27.8100311137749|31.1754446877093|77
27.838251587138|31.2122689517754|79
27.8674286867169|31.1312366626387|70
27.8377732740302|31.1222287967146|69
27.8502094148343|31.0972479689848|56
27.8827347061681|31.087827262259|57
28.0577973036412|31.0669345374795|60
28.0931924736221|31.0718508857975|61
28.0812346459258|31.0394802556113|44
28.0271852647388|31.0292340916493|38
28.029576830278|31.0193967371458|43
28.0434479104057|30.9779867406722|22
28.0400997186507|30.9603512859248|21
28.8766693442804|30.8864931108104|7
28.842709113623|30.8856721441204|6
28.7255224021998|30.8745884051762|4
28.7767019047397|30.9353279605204|15
28.7212175842291|30.9812673960736|35
28.7226525235527|30.9390203386399|14
28.6853441011404|30.9386100814475|13
28.626033275767|30.9123499592521|26
28.6298597806298|30.9554291823233|12
28.6595151933165|30.9767564658218|34
28.6202935184728|30.981677470069|33
28.5700706421485|30.9890585006344|32
28.539936916354|30.9701947321292|31
28.5227176444714|30.9365587690737|10
28.5289357148734|30.8873140704642|3
28.4705815157157|30.8897769072061|2
28.4299249015485|30.8762305214818|1
28.4036176806167|30.9320457269089|5
28.4734513943628|30.9894685411454|30
28.4643634453137|31.0218561710052|51
28.4127056296659|31.024725430267|50
28.3782670859007|31.0062786844554|28
28.3715707023908|30.9710149735077|29
28.3591345615867|31.0296439593744|49
28.3318707144392|31.0657054106866|59
28.316564694988|31.0378409434644|48
28.2759080808208|31.0214462697707|47
28.2859526560856|30.9865982205572|27
28.2931273527034|30.9505068250868|8
28.2390779715163|31.031693271543|16
28.2032044884276|30.9841378770345|25
28.2041611146433|30.9599411203127|23
28.1878984689764|31.0329228376781|11
28.1821587116822|31.0489057526751|46
28.1721141364173|31.0132478747602|24
28.1515466727798|31.06939274341|62
28.1601563087211|31.0329228376781|45
28.1276310173873|31.0058687162167|78
27.6300869943595|31.156190785549|65
